name,vacancy_rate,rental_stock,population,rental_pop,state,region
Belmore,1.73,102,12721.0,38.53,New South Wales,Canterbury-Bankstown
Belfield,0.83,19,6321.0,27.0,New South Wales,Canterbury-Bankstown
Punchbowl,0.35,1,463.0,36.36,Tasmania,Launceston
Roselands,1.71,83,11574.0,25.15,New South Wales,Canterbury-Bankstown
Lakemba,2.08,126,17019.0,50.47,New South Wales,Canterbury-Bankstown
Wiley Park,1.97,74,10126.0,50.7,New South Wales,Canterbury-Bankstown
Campsie,1.87,210,24538.0,47.73,New South Wales,Canterbury-Bankstown
Canterbury,0.99,32,8052.0,18.75,Victoria,Boroondara
Earlwood,0.86,60,17744.0,18.06,New South Wales,Canterbury-Bankstown
Kingsgrove,0.74,37,12452.0,23.0,New South Wales,Canterbury-Bankstown
Narwee,1.03,24,5621.0,37.35,New South Wales,Canterbury-Bankstown
Beverly Hills,1.02,41,10157.0,25.27,New South Wales,Georges River
Oatley,0.65,27,10487.0,18.8,New South Wales,Georges River
Hurstville Grove,0.41,4,2662.0,12.68,New South Wales,Georges River
Peakhurst,0.93,48,10542.0,21.65,New South Wales,Georges River
Lugarno,0.38,8,5609.0,8.34,New South Wales,Georges River
Riverwood,1.1,62,12094.0,47.98,New South Wales,Canterbury-Bankstown
South Hurstville,1.07,23,5137.0,25.5,New South Wales,Georges River
Blakehurst,0.75,20,6219.0,12.89,New South Wales,Georges River
Hurstville,1.77,251,29821.0,41.1,New South Wales,Georges River
Mortdale,1.24,58,10422.0,31.47,New South Wales,Georges River
Penshurst,1.37,71,12783.0,33.1,New South Wales,Georges River
Bardwell Park,0.35,3,2238.0,13.84,New South Wales,Rockdale
Kogarah,1.85,165,15121.0,44.22,New South Wales,Rockdale
Kogarah Bay,0.79,7,2027.0,11.99,New South Wales,Georges River
Carlton,3.57,531,18539.0,63.71,Victoria,Melbourne
Allawah,1.18,28,5705.0,42.01,New South Wales,Georges River
Monterey,1.02,21,4532.0,27.04,New South Wales,Rockdale
Brighton-le-Sands,1.42,59,8330.0,37.43,New South Wales,Rockdale
Kyeemagh,1.08,4,919.0,12.18,New South Wales,Rockdale
Rockdale,1.6,119,15534.0,41.22,New South Wales,Rockdale
Banksia,0.83,10,3387.0,18.51,New South Wales,Rockdale
Sans Souci,1.12,55,10301.0,22.03,New South Wales,Rockdale
Ramsgate,0.99,6,1116.0,28.15,New South Wales,Rockdale
Arncliffe,2.07,108,10588.0,35.93,New South Wales,Rockdale
Bardwell Valley,0.23,2,2320.0,16.12,New South Wales,Rockdale
Bexley,1.4,101,19727.0,23.67,New South Wales,Rockdale
Wolli Creek,2.72,162,6396.0,52.47,New South Wales,Rockdale
Concord,1.03,57,14528.0,22.17,New South Wales,Canada Bay
Mortlake,0.65,5,1373.0,17.15,Victoria,Moyne
Cabarita,0.48,4,1956.0,17.66,New South Wales,Canada Bay
Drummoyne,1.41,87,11946.0,31.64,New South Wales,Canada Bay
Rodd Point,1.32,7,1377.0,12.18,New South Wales,Canada Bay
Five Dock,1.17,51,9352.0,30.3,New South Wales,Canada Bay
Abbotsford,2.1,124,8188.0,48.16,Victoria,Yarra
Concord West,1.12,26,5913.0,19.97,New South Wales,Canada Bay
North Strathfield,1.4,27,4763.0,42.26,New South Wales,Canada Bay
Rhodes,4.41,313,11908.0,53.26,New South Wales,Canada Bay
Balmain,1.25,67,10449.0,36.36,New South Wales,Inner West
Lilyfield,1.07,37,7618.0,32.25,New South Wales,Inner West
Rozelle,1.69,75,8721.0,33.34,New South Wales,Inner West
Leichhardt,1.37,99,14627.0,35.05,New South Wales,Inner West
Ashbury,0.43,6,3327.0,10.59,New South Wales,Canterbury-Bankstown
Croydon Park,0.95,43,11015.0,29.22,New South Wales,Burwood
Enfield,0.64,18,5333.0,37.15,South Australia,Port Adelaide Enfield
Dulwich Hill,1.4,101,13713.0,39.11,New South Wales,Inner West
Lewisham,1.67,41,3163.0,37.84,New South Wales,Inner West
Haberfield,0.97,24,6451.0,17.14,New South Wales,Inner West
Homebush,3.38,184,7013.0,44.21,New South Wales,Strathfield
Strathfield South,1.66,39,3543.0,30.76,New South Wales,Strathfield
Ashfield,1.62,182,23842.0,45.65,New South Wales,Inner West
Croydon,0.65,88,26949.0,23.91,Victoria,Maroondah
Strathfield,2.04,214,25808.0,37.47,New South Wales,Strathfield
Lane Cove North,1.63,106,11440.0,39.13,New South Wales,Lane Cove
St Leonards,3.97,202,5494.0,53.56,New South Wales,Willoughby
Naremburn,1.25,35,5881.0,31.03,New South Wales,Willoughby
Artarmon,1.9,79,9519.0,44.91,New South Wales,Willoughby
Castle Cove,0.89,9,2558.0,11.73,New South Wales,Willoughby
Northbridge,0.96,23,6340.0,17.35,New South Wales,Willoughby
Chatswood,2.0,238,24910.0,41.43,New South Wales,Willoughby
Greenwich,1.1,28,5612.0,27.79,New South Wales,Lane Cove
Riverview,0.19,2,3353.0,9.18,New South Wales,Lane Cove
Lane Cove,1.19,70,10811.0,32.74,New South Wales,Lane Cove
Willoughby,1.53,50,6537.0,25.71,New South Wales,Willoughby
Asquith,1.54,43,3373.0,16.25,New South Wales,Hornsby
Mount Colah,1.03,30,7101.0,12.3,New South Wales,Hornsby
Berowra,0.3,5,4717.0,11.65,New South Wales,Hornsby
Brooklyn,1.68,20,1855.0,36.65,Victoria,Brimbank
Cowan,0.42,1,649.0,6.67,New South Wales,Hornsby
Normanhurst,0.54,12,5287.0,19.5,New South Wales,Hornsby
Thornleigh,0.8,27,8468.0,18.52,New South Wales,Hornsby
Westleigh,0.51,8,4461.0,6.57,New South Wales,Hornsby
Hornsby,1.45,149,22166.0,39.45,New South Wales,Hornsby
Waitara,1.8,73,5935.0,43.38,New South Wales,Hornsby
Gordon,1.59,61,7665.0,27.04,New South Wales,Ku-ring-gai
Killara,1.27,54,10568.0,21.92,New South Wales,Ku-ring-gai
Lindfield,1.48,68,9792.0,23.02,New South Wales,Ku-ring-gai
Roseville,1.52,62,10084.0,19.84,New South Wales,Ku-ring-gai
