Suburb,Median listing price,Median price change - last quarter (%),Median price change - 1 year (%),Median price change - 2 years (%),Median weekly rent,Median yield %,Median rent change - 1 year (%),Previous month sales,Stock on market previous month,Stock variance vs. last year (%),Average days on market
Grafton,480000.0,0.0,-1.04,4.34,480.0,5.2,6.66,21.0,55.0,-36.05,81.0
Maclean,725000.0,2.63,1.68,-0.69,500.0,3.58,5.26,4.0,36.0,-5.26,203.0
Yamba,875000.0,-0.57,2.94,2.94,590.0,3.5,1.72,8.0,63.0,16.67,83.0
Iluka,1300000.0,0.62,8.42,26.64,1050.0,4.2,24.26,1.0,17.0,-37.04,53.0
Bellingen,995000.0,0.95,10.55,9.4,620.0,3.24,3.33,9.0,46.0,-19.3,160.0
Coffs Harbour,839000.0,0.0,6.33,2.44,650.0,4.02,4.83,32.0,201.0,10.44,128.0
Coramba,,,,,,,,2.0,3.0,100.0,
Nana Glen,,,,,,,,0.0,1.0,-80.0,
Bucca,,,,,,,,0.0,1.0,-66.67,
Dorrigo,650000.0,0.0,-4.42,-2.26,,,,0.0,9.0,-68.97,152.0
Korora,1270000.0,-2.17,-2.31,-1.36,700.0,2.86,-1.41,5.0,27.0,-18.18,195.0
Emerald Beach,1217500.0,-1.23,2.74,15.95,680.0,2.9,-1.45,0.0,12.0,-40.0,126.0
Sawtell,1295000.0,-6.57,8.36,23.33,695.0,2.79,12.09,4.0,26.0,-3.7,206.0
Boambee,1400000.0,3.84,14.33,14.28,,,,0.0,7.0,0.0,120.0
Urunga,819500.0,1.95,-1.03,-3.99,575.0,3.64,15.0,10.0,33.0,13.79,170.0
Woolgoolga,790000.0,0.0,0.12,-3.78,640.0,4.21,3.22,8.0,54.0,20.0,114.0
Arrawarra,420000.0,0.0,-1.18,2.06,,,,0.0,7.0,-22.22,
Bourke,195000.0,2.7,8.33,11.42,,,,0.0,28.0,7.69,306.0
Brewarrina,,,,,,,,0.0,4.0,-42.86,
Cobar,237500.0,5.02,15.85,16.7,330.0,7.22,10.0,3.0,21.0,-34.38,135.0
Coonamble,219000.0,-6.67,-6.81,20.0,280.0,6.64,7.69,0.0,15.0,-40.0,172.0
Nyngan,255000.0,4.34,24.39,30.76,,,,0.0,4.0,-42.86,367.0
Warren,268000.0,0.4,21.81,41.05,,,,1.0,16.0,60.0,119.0
Walgett,250000.0,4.25,27.55,25.31,,,,0.0,6.0,-40.0,
Lightning Ridge,200000.0,-8.73,-16.67,-21.57,,,,0.0,28.0,12.0,277.0
Broken Hill,220000.0,-1.18,4.76,15.78,320.0,7.56,6.66,11.0,134.0,-11.84,130.0
Coonabarabran,340000.0,3.03,14.09,28.3,,,,0.0,29.0,0.0,169.0
Dubbo,585000.0,0.0,-1.27,8.33,500.0,4.44,6.38,50.0,201.0,-14.47,82.0
Gilgandra,310000.0,0.0,14.81,24.0,375.0,6.29,7.14,1.0,26.0,23.81,104.0
Narromine,412000.0,4.14,14.76,5.64,430.0,5.42,7.5,3.0,17.0,-10.53,113.0
Wellington,350000.0,0.0,0.0,17.05,400.0,5.94,14.28,7.0,44.0,-13.73,185.0
Branxton,1020500.0,4.99,1.39,27.72,585.0,2.98,14.7,4.0,16.0,-15.79,84.0
Greta,730000.0,0.43,12.3,4.28,550.0,3.91,5.76,7.0,48.0,128.57,96.0
Pokolbin,1599500.0,-2.7,-0.04,6.7,,,,2.0,31.0,93.75,137.0
Cessnock,649000.0,1.56,8.16,11.89,500.0,4.0,4.16,13.0,87.0,-15.53,113.0
Dungog,649000.0,0.0,10.94,10.0,490.0,3.92,6.52,4.0,16.0,14.29,98.0
Kurri Kurri,599000.0,0.0,1.69,2.83,500.0,4.34,4.16,17.0,31.0,-8.82,39.0
Abermain,650000.0,7.5,8.51,8.33,495.0,3.96,0.0,1.0,18.0,157.14,56.0
Singleton,743500.0,6.75,12.9,10.14,620.0,4.33,12.72,7.0,80.0,70.21,101.0
Maitland,749000.0,0.0,4.02,-0.14,535.0,3.71,7.0,5.0,22.0,-4.35,84.0
East Maitland,765000.0,3.37,3.37,6.25,580.0,3.94,7.4,17.0,66.0,40.43,67.0
Metford,650000.0,3.17,4.83,2.76,580.0,4.64,16.0,2.0,10.0,0.0,78.0
Aberglasslyn,785500.0,-1.34,-0.26,5.43,600.0,3.97,3.44,15.0,88.0,69.23,114.0
